Day Index,Quantity,Impressions,Clicks,imputed_Quantity,Month Name,Weekend,Day of Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,January,February,March,April,May,June,July,August,September,October,November,December
2021-12-01 00:00:00,14,620,445,14,December,0,Wednesday,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-02 00:00:00,10,890,433,10,December,0,Thursday,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-03 00:00:00,13,851,424,13,December,0,Friday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-04 00:00:00,22,881,427,22,December,1,Saturday,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-05 00:00:00,33,678,451,30.67,December,1,Sunday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-06 00:00:00,12,995,429,12,December,0,Monday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-07 00:00:00,29,910,444,29,December,0,Tuesday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-08 00:00:00,24,867,431,24,December,0,Wednesday,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-09 00:00:00,23,1128,456,23,December,0,Thursday,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-10 00:00:00,38,1129,391,30.67,December,0,Friday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-11 00:00:00,20,1461,447,20,December,1,Saturday,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-12 00:00:00,21,1237,347,21,December,1,Sunday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-13 00:00:00,18,1403,443,18,December,0,Monday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-14 00:00:00,15,1641,427,15,December,0,Tuesday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-15 00:00:00,15,1496,423,15,December,0,Wednesday,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-16 00:00:00,11,1775,404,11,December,0,Thursday,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-17 00:00:00,17,1619,413,17,December,0,Friday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-18 00:00:00,14,969,370,14,December,1,Saturday,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-19 00:00:00,11,678,429,11,December,1,Sunday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-20 00:00:00,18,1330,383,18,December,0,Monday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-21 00:00:00,13,1331,379,13,December,0,Tuesday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-22 00:00:00,6,1176,350,6,December,0,Wednesday,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-23 00:00:00,9,1257,359,9,December,0,Thursday,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-24 00:00:00,8,1085,339,8,December,0,Friday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-25 00:00:00,12,1814,338,12,December,1,Saturday,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
